,name,sector,location,rating,reviews,jobs
1905,Ambit Finvest,NBFC ,Mumbai +116 other locations,4.0,570,2
1906,HBL Power Systems,Electrical Equipment ,Hyderabad +49 other locations,4.0,570,8
1907,Jaipur Rugs,Fashion & Textile ,Jaipur +20 other locations,4.3,569,4
1908,Applied Materials,Semiconductors ,Bengaluru +11 other locations,3.7,569,140
1909,McCain Foods,FMCG ,Mahesana +73 other locations,4.0,569,5
1910,QSpiders,Education & Training ,Bengaluru +26 other locations,3.7,569,--
1911,Pinnacle Infotech,IT Services & Consulting ,Durgapur +19 other locations,3.4,568,19
1912,Laxmi Organic Industries,Chemicals ,Mahad +19 other locations,3.8,568,13
1913,AVEVA,Software Product ,Hyderabad +14 other locations,4.0,568,52
1914,TSYS|Total System Services,FinTech ,Pune +11 other locations,4.1,567,2
1915,Amway India Enterprises,Fitness & Wellness ,Gurugram +80 other locations,4.1,567,14
1916,Transport Corporation Of India,Logistics ,Gurugram +83 other locations,3.8,567,--
1917,ArcelorMittal,Iron & Steel ,Surat +50 other locations,4.0,567,26
1918,Empower,Financial Services ,Bengaluru +12 other locations,4.0,567,77
1919,Toyota Industries Engine India,Auto Components ,Bengaluru +15 other locations,4.3,566,--
1920,Micromax Informatics,Consumer Electronics & Appliances ,New Delhi +118 other locations,3.9,566,--
1921,Paras Dairy,Food Processing ,New Delhi +60 other locations,3.4,566,3
1922,Lear Corporation,Auto Components ,Pune +19 other locations,4.0,566,11
1923,Baker Hughes,Oil & Gas ,Bengaluru +38 other locations,4.0,566,97
1924,Genesys International Corporation,IT Services & Consulting ,Mumbai +15 other locations,3.4,566,2
1925,"DATAMARK, Inc.",BPO ,Chennai +13 other locations,3.4,566,43
1926,Dishman Carbogen Amcis,Pharma ,Ahmedabad +15 other locations,3.6,565,51
1927,Paramount Health Services Tpa,Insurance ,Mumbai +40 other locations,3.8,565,21
1928,SAEL Industries Limited,Power ,New Delhi +65 other locations,4.0,565,34
1929,Congruex Asia Pacific,Engineering & Construction ,Sahibzada Ajit Singh Nagar +24 other locations,3.7,565,4
1930,Andritz Hydro Location India,Industrial Machinery ,Chennai +28 other locations,3.9,565,11
1931,Voyants Solutions,Engineering & Construction ,Gurugram +96 other locations,3.7,564,207
1932,DB Schenker,Logistics ,Gurugram +40 other locations,4.3,564,--
1933,SoftAge Information Technology,IT Services & Consulting ,Gurugram +127 other locations,3.6,564,12
1934,BUSINESSNEXT,Software Product ,Noida +9 other locations,3.5,563,17
1935,UTL Solar,Electronics Manufacturing ,New Delhi +80 other locations,3.6,563,45
1936,Levi Strauss & Co.,Fashion & Textile ,Bengaluru +80 other locations,4.2,563,17
1937,Magma General Insurance Limited,Insurance ,Mumbai +87 other locations,3.8,563,30
1938,Vishwa Samudra Engineering,Engineering & Construction ,Hyderabad +45 other locations,3.6,562,9
1939,Western Refrigeration,Industrial Machinery ,Vapi +43 other locations,3.8,560,37
1940,MR.DIY,Retail ,Mumbai +86 other locations,3.4,560,5
1941,Prestige Group,Real Estate ,Bengaluru +30 other locations,4.3,559,16
1942,Mahendra NextWealth IT,IT Services & Consulting ,Salem +26 other locations,3.4,559,6
1943,Marelli,Auto Components ,Gurugram +18 other locations,3.5,559,--
1944,United Spirits,Beverage ,Bengaluru +95 other locations,4.1,559,7
1945,Sandoz,Pharma ,Hyderabad +21 other locations,4.0,559,7
1946,Titan Engineering & Automation,Engineering & Construction ,Hosur +18 other locations,3.8,558,11
1947,Artemis Hospitals,Healthcare ,Gurugram +20 other locations,4.1,558,8
1948,Solara Active Pharma Sciences,Pharma ,Chennai +19 other locations,3.7,558,2
1949,Icl Fincorp,NBFC ,Thrissur +58 other locations,4.7,557,4
1950,Bajaj Consumer Care,FMCG ,Mumbai +112 other locations,3.8,557,4
1951,NAV Backoffice,Accounting & Auditing ,Jaipur +10 other locations,3.8,557,2
1952,Toothsi,Internet ,Mumbai +20 other locations,2.7,557,--
1953,MITS Global Consulting,Recruitment ,Mumbai +12 other locations,4.5,557,--
1954,Renault,Automobile ,Chennai +148 other locations,4.0,556,--
1955,Harman Finochem,Pharma ,Chhatrapati Sambhajinagar +14 other locations,3.6,557,19
1956,Unified Mentor,IT Services & Consulting ,Bengaluru +44 other locations,4.1,555,4
1957,Navin Fluorine International,Chemicals ,Surat +17 other locations,3.8,555,3
1958,LendingKart,NBFC ,Ahmedabad +46 other locations,3.6,555,35
1959,Datamatics Business Solutions,Management Consulting ,Mumbai +13 other locations,3.3,555,15
1960,Courtyard by Marriott,Hospitality ,Mumbai +41 other locations,4.2,554,--
1961,Premier Energies,Electronics Manufacturing ,Hyderabad +26 other locations,4.0,554,14
1962,Kirloskar Pneumatic,Industrial Machinery ,Pune +22 other locations,4.0,553,--
1963,Innominds Software,IT Services & Consulting ,Hyderabad +7 other locations,3.2,553,41
1964,Z X Learning,EdTech ,Lucknow +89 other locations,4.3,553,--
1965,The Times of India,Media & Entertainment ,New Delhi +53 other locations,3.6,552,--
1966,Carlsberg,Beverage ,Gurugram +67 other locations,3.9,552,13
1967,Herbalife International,Healthcare ,Bengaluru +85 other locations,4.0,552,10
1968,FiveS Digital,BPO ,Jamshedpur +27 other locations,3.3,551,7
1969,Practo,Internet ,Bengaluru +24 other locations,3.0,551,36
1970,Kellogg Brown and Root,Engineering & Construction ,Chennai +36 other locations,4.1,551,43
1971,L & W Constructions,Engineering & Construction ,Bengaluru +19 other locations,3.9,551,1
1972,Bharat Fritz Werner,Industrial Machinery ,Bengaluru +18 other locations,3.9,551,11
1973,Hitachi Cash Management Services,Other ,Mumbai +103 other locations,3.2,550,9
1974,Unimoni,FinTech ,Chennai +136 other locations,3.8,550,3
1975,BLK Super Speciality Hospital,Healthcare ,New Delhi +16 other locations,3.9,550,--
1976,Indecomm Global Services,IT Services & Consulting ,Bengaluru +13 other locations,4.1,550,1
1977,GSPANN Technologies,IT Services & Consulting ,Hyderabad +9 other locations,4.1,550,79
1978,Propertypistol Realty,Internet ,Mumbai +25 other locations,3.8,550,43
1979,Craftsman Automation,Auto Components ,Coimbatore +26 other locations,3.9,549,--
1980,Virtual Employee,Recruitment ,Noida +22 other locations,3.3,549,--
1981,WPP Media,Marketing & Advertising ,Gurugram +27 other locations,3.6,549,5
1982,AM Infoweb,BPO ,Pune +8 other locations,3.8,549,34
1983,Enco Engineers Combine,Auto Components ,Gurugram +17 other locations,3.7,549,--
1984,Inox Wind,Power ,Noida +41 other locations,3.7,548,4
1985,Macawber Beekay,Industrial Machinery ,Noida +56 other locations,4.2,547,18
